,case,name,longitude,latitude,altitude,input_ts_fn,sim_pars_fn,price_fn,price_col,H2_demand_col
0,India,Indian_site_good_wind,77.50022583,8.334293917,679.803454,India/GWA3/input_ts_Indian_site_good_wind.csv,India/hpp_pars.yml,India/Indian_elec_price_t.csv,Price,India/H2_demand.csv
1,India,Indian_site_good_solar,68.54220353,23.54209921,29.88355741,India/GWA3/input_ts_Indian_site_good_solar.csv,India/hpp_pars.yml,India/Indian_elec_price_t.csv,Price,India/H2_demand.csv
2,India,Indian_site_bad_solar_bad_wind,77.91687803,17.29231621,627.4246426,India/GWA3/input_ts_Indian_site_bad_solar_bad_wind.csv,India/hpp_pars.yml,India/Indian_elec_price_t.csv,Price,India/H2_demand.csv
3,Europe,France_good_solar,4.229736,44.422011,204,Europe/GWA3/input_ts_France_good_solar.csv,Europe/hpp_pars.yml,Europe/2030-EL_PRICE.csv,FR_R,Europe/H2_demand.csv
4,Europe,France_good_wind,-0.864258,48.744116,302,Europe/GWA3/input_ts_France_good_wind.csv,Europe/hpp_pars.yml,Europe/2030-EL_PRICE.csv,FR_R,Europe/H2_demand.csv
5,Europe,France_bad_solar_n_wind,2.167969,47.428087,140,Europe/GWA3/input_ts_France_bad_solar_n_wind.csv,Europe/hpp_pars.yml,Europe/2030-EL_PRICE.csv,FR_R,Europe/H2_demand.csv
6,Europe,Germany_bad_solar_n_wind,10.766602,49.310798,442,Europe/GWA3/input_ts_Germany_bad_solar_n_wind.csv,Europe/hpp_pars.yml,Europe/2030-EL_PRICE.csv,DE_ME,Europe/H2_demand.csv
7,Europe,Germany_good_wind,7.873535,53.287111,5,Europe/GWA3/input_ts_Germany_good_wind.csv,Europe/hpp_pars.yml,Europe/2030-EL_PRICE.csv,DE_NW,Europe/H2_demand.csv
8,Europe,Denmark_good_solar,11.813965,55.39776,42,Europe/GWA3/input_ts_Denmark_good_solar.csv,Europe/hpp_pars.yml,Europe/2030-EL_PRICE.csv,DK_E,Europe/H2_demand.csv
9,Europe,Denmark_good_wind,8.594398,56.227322,85,Europe/GWA3/input_ts_Denmark_good_wind.csv,Europe/hpp_pars.yml,Europe/2030-EL_PRICE.csv,DK_W,Europe/H2_demand.csv
